Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Chinchilla,2,1030.0,2,Savvy Song,968606.0,60.0,7.0,Adam Sewell,15284,C Smith,Soft,-10.6,op,1.0,5.0,,Restricted 55,55.0,,Handicap,4.0,12.0,Gelding,0.8,1.0,3.0,,,8
Chinchilla,2,1030.0,3,Old Town Road,916197.0,58.5,1.0,Cheryl Rogers,11531,Ms C Rogers,Soft,-3.4,op/mf,2.0,4.0,,Restricted 55,55.0,,Handicap,6.0,46.0,Mare,0.8,2.0,4.0,,,8
Chinchilla,2,1030.0,4,Boss Bandit,974407.0,58.0,2.0,S Apthorpe,4531,W P Baker,Soft,6.2,mf/bm,8.0,7.0,,Restricted 55,55.0,,Handicap,4.0,9.0,Gelding,11.5,6.0,5.0,,,8
Chinchilla,2,1030.0,6,Easy Come,904766.0,53.5,3.0,Tamara Noble,17069,G Barbierato,Soft,-10.4,op/mf,3.0,3.0,,Restricted 55,55.0,,Handicap,7.0,46.0,Gelding,1.3,2.0,7.5,,,8
Chinchilla,2,1030.0,7,True Tally,931641.0,52.5,4.0,Emily Promfrett,17261,Malcolm Bailey,Soft,-6.9,mf,6.0,6.0,,Restricted 55,55.0,,Handicap,6.0,57.0,Gelding,5.6,4.0,7.5,,,8
Chinchilla,2,1030.0,8,Valar Dohaeris,918107.0,55.0,5.0,Alisha Donald,16787,G W Schrader,Soft,0.5,mf/bm,7.0,2.0,,Restricted 55,55.0,,Handicap,7.0,46.0,Gelding,2.8,3.0,8.0,,,8
Chinchilla,2,1030.0,9,Lively Lass,874419.0,55.0,6.0,Adam Spinks,15708,Stephanie Sixtus,Soft,-11.3,mf,5.0,8.0,,Restricted 55,55.0,,Handicap,8.0,80.0,Mare,9.3,9.0,151.0,,,8
Toowoomba,3,1100.0,1,Moscini,876874.0,63.0,1.0,,0,Dale Groves,Good,6.7,mf,4.0,4.0,,Benchmark 65,56.5,,Handicap,8.0,67.0,Gelding,10.2,5.0,3.5,14.72,6.0,6
Toowoomba,3,1100.0,1,Moscini,876874.0,63.0,1.0,,0,Dale Groves,Good,6.7,mf,4.0,4.0,,Benchmark 65,56.5,,Handicap,8.0,67.0,Gelding,10.2,5.0,3.5,14.72,6.0,6
Toowoomba,3,1100.0,1,Moscini,876874.0,63.0,1.0,,0,Dale Groves,Good,6.7,mf,4.0,4.0,,Benchmark 65,56.5,,Handicap,8.0,67.0,Gelding,10.2,5.0,3.5,14.72,6.0,6
Toowoomba,3,1100.0,1,Moscini,876874.0,63.0,1.0,,0,Dale Groves,Good,6.7,mf,4.0,4.0,,Benchmark 65,56.5,,Handicap,8.0,67.0,Gelding,10.2,5.0,3.5,14.72,6.0,6
Chinchilla,3,1030.0,2,Dynamic Verse,907147.0,62.5,10.0,S Apthorpe,4531,L F Mawn,Soft,0.1,mf,9.0,8.0,,Open,55.0,,Quality,7.0,49.0,Gelding,0.5,1.0,2.5,,,10
